"id","price","school","lat","lon","rate","hoa","hvac","garage","view","year","bath","bed","stories","lot","living"
2,0.521749239120869,0,0.466687224369235,0.571693706107152,-0.342352240823754,0,1,0,0,6,3,2,1,-0.0144770564928071,-0.102798019488924
7,-0.365497144187666,0,-0.793756770682865,-0.34976773663526,-0.282201194119408,1,1,0,0,6,2,2,1,-0.0101703080023815,-0.625898111581844
8,0.0509133519926148,0,2.13850702264234,0.386148336843816,3.96358611031151,1,1,1,0,5,3,3,2,-0.00626059200587238,0.959017092819094
9,-0.0926931432231084,0,0.209540399859433,0.656381808977754,-0.197985740432953,0,1,0,0,2,1,3,2,-0.0170727003413096,-0.74301007249817
10,-0.393956732281486,0,-0.921094908483435,-0.808092420914003,-0.34364412537336,0,1,0,0,5,2,2,1,-0.016668640723607,-0.40728911787137
12,-0.790221381303149,0,-0.869114841842084,-0.385313490246078,-0.167855475802027,0,1,0,1,4,1,4,1,0.00631620279035726,-0.797662320925789
15,-0.207868754326786,1,-1.08558911219361,-1.72235281082306,-0.367127931823731,1,0,0,0,6,2,3,1,-0.00307818332122787,-0.235524908527426
16,0.0855020377146411,0,-0.44334211685004,0.199707461920032,-0.174697511707854,0,1,0,0,2,2,2,1,-0.00971881529912256,-0.914774281842114
19,-0.00238474495236899,1,2.0316055532716,0.0967349890156287,4.08479352556889,1,NA,6,1,6,4,4,2,-0.00224019880973164,1.0214768053078
22,-0.0262473253182894,0,0.784546651563958,0.626321471578383,-0.18265221470084,0,1,3,0,4,2,3,1,-0.0147739524727712,-0.196487588221984
24,-0.334147848024788,1,1.3013201340493,0.663300441844485,-0.163512730848075,0,1,0,0,5,3,2,2,-0.00304656126419028,-0.188680124160896
25,-0.402870773339189,0,-0.971150497807989,-0.389345935610053,-0.338052505914491,0,1,5,0,5,2,3,1,0.00480800634775869,-0.571245863154226
28,-0.363048749516548,0,NA,0.829599747039234,-0.322772773688387,0,1,2,0,3,2,3,1,-0.0169374282084266,-0.672742895948375
32,-0.37277518871455,0,-1.26477042495484,-0.654324644149115,-0.286241021097204,0,1,2,0,4,2,4,1,-0.0230378500452624,-0.74301007249817
33,0.299838538302176,0,-0.675146125072653,-0.0471007195076796,-0.256618818099115,0,0,0,0,6,3,4,2,0.00239770288911544,-0.329214477260486
36,-0.302101778324628,1,-0.732194892293519,-0.818335522133452,-0.202139975477886,1,1,1,0,4,2,3,1,0.00278068113545963,-0.149642803855454
38,-0.532847190742169,1,1.582844904376,1.16518730222894,-0.23449850690789,0,1,2,0,5,2,3,1,-0.00123707688926131,-0.602475719398579
39,-0.156902988771434,0,0.273496049385531,1.18216569282781,-0.209463827922934,0,0,1,0,4,2,3,1,-0.0137225190762712,-0.258947300710691
40,-0.0752194927491031,0,0.288115783255138,1.20230319122938,-0.264348986630927,0,1,2,0,4,2,4,1,0.00723148566350095,-0.290177156955045
44,-0.0849064005218139,1,1.38945465457017,0.611583141727264,NA,0,1,1,0,5,2,4,1,0.00580322275396963,0.0767736539161087
45,0.0815005233523898,0,1.57607773755957,-0.191280800466781,-0.234517514970125,1,1,1,0,4,2,4,1,-0.0165939775333794,0.186078150771346
46,-0.361093612002517,1,0.116401538771157,1.132228795598,-0.350323549108116,0,0,0,0,3,2,3,1,-0.0091803619390102,-0.618090647520756
48,-0.114960454557803,1,2.07526524812468,NA,4.05531806952387,1,1,3,0,6,3,5,2,-0.0164982329717933,1.21666340683501
53,0.113240391380803,0,1.30369623055333,0.135928942582872,-0.236796005166706,0,1,0,0,5,2,3,1,0.000835924627647615,-0.0325308429391285
54,-0.469269326195299,0,-1.18886752623038,-0.392428712386499,-0.244642364483549,0,0,0,0,5,2,5,1,-0.00106139879460801,-0.36044433350484
55,-0.383362184023861,0,1.05389355413356,NA,-0.316467085486056,1,1,2,0,6,3,4,2,-0.0192063108008739,0.0299288695495785
56,0.0812205236566213,0,1.21771094225642,-0.764014549082068,-0.355178719639214,1,1,2,0,6,4,4,2,-0.0235104241198798,0.303190111687671
59,-0.516268451776307,1,-1.4194202561532,-0.67487228831281,-0.350265679580785,1,1,1,0,6,3,3,2,-0.00687634372763219,-0.368251797565928
60,-0.413782595484567,0,-1.03411418066067,-0.541592566916773,-0.213339851765949,0,1,1,0,5,3,3,2,-0.013751505961889,-0.493171222543342
61,-0.271464540555619,0,0.806912513674264,-1.40739659140629,-0.262447843027127,1,1,0,0,5,2,4,1,-0.0202094327213443,-0.0637606991834819
62,-0.251577180323162,0,-0.240795309208371,1.14635346756305,-0.246631360666872,1,1,2,0,6,3,4,1,-0.0154547050895528,-0.344829405382663
63,1.18331613485368,1,0.498941551238737,-1.23097669005828,-0.279481960405938,0,0,2,0,6,4,4,2,-0.0115177589883723,0.943402164696918
65,0.852415018568558,0,0.494804064557444,0.302185685064898,-0.278618265479559,0,1,2,0,6,3,5,2,-0.0135090701912675,0.0689661898550203
66,-0.204423136232056,1,2.29435450088191,0.370915108373512,4.02341892646161,1,NA,3,0,5,3,5,1,0.00284129007811502,0.654525994436648
68,-0.17005815102376,0,-0.36363291356881,0.865851277984771,-0.27093813758451,1,1,0,0,6,3,4,3,-0.00567031360783729,-0.516593614726607
69,-0.140474188280252,0,0.486048914140916,0.841109567290986,-0.174496492217169,0,1,4,0,4,2,NA,2,-0.000308618159018624,-0.0949905554278354
70,0.666297369724266,1,0.048385664474783,-1.26557812792846,-0.257774417264949,1,NA,2,1,5,3,4,2,-0.00326703727298017,0.638911066314471
71,-0.411601214706214,0,-0.889989765634701,-0.441642353753454,-0.204128710881948,0,0,2,0,4,2,2,1,0.00385670946521108,-0.664935431887286
73,-0.379401116129765,0,-1.22899452870413,-1.0866500117707,-0.213631858280014,1,1,0,0,5,2,4,1,-0.0226460878941855,-0.438518974115724
74,0.800373892948197,1,NA,-0.94930019537246,-0.221387434072655,1,1,0,1,6,4,4,2,-0.0139640764564195,1.63045900207269
75,-0.32405832157961,0,0.129573290769538,1.46700089294731,-0.324232446039977,0,1,0,1,4,2,4,1,-0.000638892976966826,-0.321407013199398
76,-0.678203795594309,1,-0.527598769903017,2.35803803389443,-0.376765202978082,1,1,3,0,6,2,3,1,0.00676681710314297,-0.633705575642933
78,-0.513329662882129,1,0.763151628254069,1.35260406210339,-0.36940855886668,0,1,2,1,4,2,3,1,-0.019130769220173,-0.31359954913831
81,-0.289573423328462,1,0.909608651255674,-1.33836493719873,-0.189381540938624,1,1,2,0,5,3,4,2,-0.0203543671494332,0.459339392909439
82,-0.511634054447666,1,1.605639118714,1.08249396142687,-0.204705127762507,0,1,2,1,5,3,3,2,0.00455327311051141,-0.352636869443752
83,-0.302933134802708,0,0.912177273463071,0.936230448468454,-0.218635939281761,0,1,0,0,4,2,3,1,0.00196114282390199,-0.524401078787696
85,-0.301504947601603,0,-0.777511992656845,-0.294332755213932,-0.230320137627039,0,1,2,0,4,2,5,1,-0.00159546020235404,-0.563438399093138
87,-0.524284486576063,0,-1.45756007458539,-0.758280397784634,-0.265114221871915,1,1,2,1,6,2,3,1,0.00351325879016388,-0.516593614726607
89,0.295893282867635,1,1.34681963719453,0.207356960379193,-0.177730832751205,0,1,4,0,5,3,3,NA,-0.0021286432196268,0.435917000726174
92,-0.635771750719985,1,-0.960113713591172,0.558629479516374,-0.179054370925839,1,1,2,0,6,3,5,1,-0.00564308350316603,-0.337021941321575
94,-0.254293546841171,0,-1.13485719223614,-0.471853392359491,-0.288577493228683,1,1,3,0,6,3,3,1,-0.0181109578807106,-0.26675476477178
95,-0.0612386906680452,0,-0.338977727929536,1.11157729538636,-0.272084151025539,1,1,2,0,6,2,4,2,-0.0129319676503314,-0.563438399093138
96,-0.693106377474202,1,-1.4791565418977,0.453201703031657,-0.192444806182414,1,0,0,0,6,3,3,2,-0.0232723803016245,-0.391674189749193
97,-0.271005429121938,0,-0.976945034632597,-0.240462550859001,-0.274707146428803,0,1,1,0,4,2,2,1,-0.012139659443445,-0.867929497475584
